"speciesid","gr","count"
256547,malacostraca,16
505395,,6
233338,,1
471479,,7
493546,,40
515557,malacostraca,2
377041,,3
171259,,2
516523,,1
173396,,8
850348,,26
285785,cnidaria,11
596377,reptilia,8
575771,,4
462807,,7
131292,annelida,453
101979,malacostraca,182
331535,annelida,1
907598,,202
592901,cnidaria,1
244190,,6
513512,,9
285246,cnidaria,3
328457,annelida,1
471883,,2
444623,malacostraca,166
526376,malacostraca,9
127822,,147
329882,annelida,247
192186,,3
146887,,33
114947,arachnida,1
371699,,7
765600,,1
279576,actinopterygii,129
433974,gastropoda,3
104588,,2
116382,,7964
172755,,96
221104,cnidaria,3
726374,,2
837311,,21
567049,,306
131387,annelida,7
955134,,4
395867,,3
171927,,9
429662,,15
190032,,2
505528,,56
409992,gastropoda,44
133640,,1
345438,,168
444962,malacostraca,1
126305,actinopterygii,165
241273,malacostraca,50
278095,actinopterygii,48
488674,malacostraca,95
445548,gastropoda,7
441177,malacostraca,7
385907,,39
275979,actinopterygii,8
1061735,malacostraca,869
491252,gastropoda,1
466389,,6
1298900,malacostraca,1
150612,,1
261978,malacostraca,41
117929,cnidaria,124
286104,cnidaria,2
616990,,1
240798,malacostraca,175
386353,,67
136495,malacostraca,110
215026,,11
218848,actinopterygii,112
591850,gastropoda,2
151195,,2
845891,,1
220212,,44
239422,,7
150616,,3
208824,malacostraca,46
430694,gastropoda,11
594211,gastropoda,26
111801,,4
863381,annelida,1
219945,actinopterygii,660
469992,,5
593312,annelida,8
104551,,2193
209546,malacostraca,7
137256,,29
333388,annelida,2
417777,,34
469231,,2
243251,,4
344000,aves,1306
719186,,28
832369,malacostraca,64
228332,,1
277866,actinopterygii,3
600637,,1
456625,gastropoda,19
932866,malacostraca,1
392224,malacostraca,3
103650,,5
746484,cnidaria,20
278752,actinopterygii,2
838930,,8
444092,malacostraca,12
360768,,29
231317,,4
444167,malacostraca,20
330045,annelida,3
173635,annelida,8
170803,,1
218203,actinopterygii,246
390462,gastropoda,1
435201,gastropoda,67
244459,malacostraca,7
548807,malacostraca,2
101039,cnidaria,1
421245,,8
462203,,2
170148,,2
471348,,10
414340,,1
119948,malacostraca,1
488311,malacostraca,7
434970,gastropoda,5
475338,gastropoda,1
608096,arachnida,2
213228,,49
292876,,3
417003,gastropoda,14
250056,,11
906599,,1
413094,,10
333058,annelida,6
524763,gastropoda,4
287691,cnidaria,222
109984,,558
276936,actinopterygii,66
369127,,5
275906,actinopterygii,57
505258,,67
220945,,4
392100,malacostraca,49
283777,cnidaria,2
279176,actinopterygii,2
1315203,,1
207008,cnidaria,522
145385,,758
471732,,50
285180,cnidaria,66
327269,annelida,1
549154,,3
341584,,11
425857,malacostraca,2
548990,malacostraca,6
104003,,14
276338,actinopterygii,27
216064,malacostraca,4
514780,malacostraca,2
273607,actinopterygii,2
136309,malacostraca,12
272203,actinopterygii,4
279633,actinopterygii,158
107313,malacostraca,281
590000,malacostraca,1
256455,malacostraca,33
471095,,16
173569,,14
283971,cnidaria,2
1377644,gastropoda,2
451325,,5
355138,,2
624943,,2
143165,,5
280640,actinopterygii,2
591828,gastropoda,2
142839,,1
220970,cnidaria,7
256427,malacostraca,1
1060512,gastropoda,76
259911,malacostraca,13
149066,,4609
484025,,2
238159,,28
